domain_name,agency_organization,maintaining_office,use_case,Type of government,Federal branch,state,comments,link,date_added,agency_type,branch,Domain Type,city,security_contact_email
dickensonva.org,,,,County,,Virginia,"Dickenson County, VA -- Note added 8/2/13 14:03",http://dickensonva.org/,6/6/13 18:08,county,,,,
dickeyville.com,,,,Local,,Wisconsin,"Village of Dickeyville, WI -- Note added 8/5/14 5:20",http://dickeyville.com/,6/6/13 18:08,local,,,,
dickinsongov.com,,,,Local,,North Dakota,"City of Dickinson, ND -- Note added 7/18/14 5:47",http://dickinsongov.com/,6/6/13 18:08,local,,,,
dietrichidaho.com,,,,Local,,Idaho,"City of Dietrich, ID -- Note added 7/15/14 5:45",http://dietrichidaho.com/,6/6/13 18:08,local,,,,
diggingintodata.org,,,,Quasigovernmental,,,"Digging into Data Challenge The Digging into Data Challenge aims to address how 'big data' changes the research landscape for the humanities and social sciences. Now that we have massive databases of materials available for research in the humanities and the social sciences--ranging from digitized books, newspapers, and music to information generated by Internet-based activities and mobile communications, administrative data from public agencies, and customer databases from private sector organizations - what new, computationally-based research methods might we apply? From http://diggingintodata.org/about ; Retrieved February 9, 2017 -- Note added 2/9/17 16:02",http://diggingintodata.org/,2/9/17 16:01,quasigovernmental,,,,
digitalmaine.com,,,,State,,Maine,"About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history, genealogy, culture and government. The repository was designed to host a variety of media including books, images, maps and documents, as well as audio and video collections.  -- Note added 12/8/16 22:08",http://digitalmaine.com/,12/8/16 22:06,state,,,,
digitalvaults.org,National Archives and Records Administration (NARA),,,Federal,,,"Digital Vaults, the National Archives experience -- Note added 6/14/13 19:03",,6/6/13 18:08,federal,unspecified,,,
dillinghamak.us,,,,Local,,Alaska,"City of Dillingham, AK -- Note added 6/7/13 12:51",http://www.dillinghamak.us/,6/7/13 12:51,local,,,,
cityofdillonsc.us,,,,Local,,South Carolina,"dillon city, sc -- Note added 8/28/15 13:45",http://www.cityofdillonsc.us/,6/6/13 18:08,local,,,,
dillonmt.org,,,,Local,,Montana,"City of Dillon, MT -- Note added 11/22/13 13:05",http://dillonmt.org/,6/6/13 18:08,local,,,,
dillsburg.com,,,,Local,,Pennsylvania,"Borough of Dillsburg, PA -- Note added 9/15/14 19:43",http://dillsburg.com/,6/6/13 18:08,local,,,,
dillwynva.org,,,,Local,,Virginia,"Town of Dillwyn, VA -- Note added 6/17/14 17:40",http://dillwynva.org/,6/6/13 18:08,local,,,,
dinwiddieva.us,,,,County,,Virginia,"Dinwiddie County, VA -- Note added 6/6/14 20:24",http://dinwiddieva.us/,6/6/13 18:08,county,,,,
discovermott.com,,,,Local,,North Dakota,"City of Mott, ND -- Note added 7/18/14 5:48",http://discovermott.com/,6/6/13 18:08,local,,,,
sites.google.com,,,,Local,,North Dakota,"City of Northwood, ND -- Note added 7/18/14 5:49",https://sites.google.com/site/northwoodcitynorthdakota/,6/6/13 18:08,local,,,,
consumer.discoverohio.com,,,,State,,Ohio,Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30,http://consumer.discoverohio.com/,6/6/13 19:11,state,,,,
discoversouthcarolina.com,,,,State,,South Carolina,Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30,http://discoversouthcarolina.com/,6/6/13 19:11,state,,,,
districtheights.org,,,,Local,,Maryland,"City of District Heights, MD -- Note added 5/27/14 2:24",http://www.districtheights.org/,6/6/13 18:08,local,,,,
dixfield.org,,,,Local,,Maine,"dixfield, ME -- Note added 8/27/15 18:11",http://dixfield.org/,6/6/13 18:08,local,,,,
dkcoks.org,,,,County,,Kansas,"Dickinson County, KS -- Note added 7/1/14 6:27",http://dkcoks.org/,6/6/13 18:08,county,,,,
dmcounty.com,,,,County,,Iowa,"Des Moines County, Iowa -- Note added 6/6/13 18:08",http://dmcounty.com/,6/6/13 18:08,county,,,,
dmvnow.com,,,,State,,Virginia,Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27,http://dmvnow.com/#/,6/6/13 18:08,state,,,,
dobbsferry.com,,,,Local,,New York,"Village of Dobbs Ferry, NY -- Note added 6/30/15 16:42",http://dobbsferry.com/,6/6/13 18:08,local,,,,
docogonet.com,,,,County,,Maryland,"Dorchester County, MD -- Note added 11/20/13 13:16",http://docogonet.com/,6/6/13 18:08,county,,,,
docsteach.org,National Archives and Records Administration (NARA),,,Federal,,,"DocsTeach, teacher resources from the National Archives -- Note added 6/14/13 19:04",,6/6/13 18:08,federal,unspecified,,,
dodccrp.org,Department of Defense (DOD),,,Federal,,,"Command and Control Research Program, Department of Defense -- Note added 6/14/13 19:05",,6/6/13 18:08,federal,unspecified,,,
dodea.edu,Department of Defense (DOD),,,Federal,,,Department of Defense Education Activity -- Note added 6/6/13 18:08,,6/6/13 18:08,federal,unspecified,,,
dodgecity.org,,,,Local,,Kansas,"City of Dodge City, KS -- Note added 7/1/14 6:28",http://dodgecity.org/,6/6/13 18:08,local,,,,
dodsbir.net,Department of Defense (DOD),,,Federal,,,DOD Small Business Innovation Research -- Note added 8/7/14 12:27,http://dodsbir.net/,8/7/14 12:26,federal,unspecified,,,
dodstarbase.org,Department of Defense (DOD),,,Federal,,,"DoD STARBASE focuses on elementary students, primarily fifth graders. The goal is to motivate them to explore Science, Technology, Engineering and Math (STEM) as they continue their education. -- Note added 12/6/13 15:25",http://dodstarbase.org/,6/6/13 18:08,federal,unspecified,,,
doe.as,,,,State,,American Samoa,American Samoa Department of Education -- Note added 4/4/14 10:58,http://doe.as/,6/6/13 18:08,state,,,,
donaanacounty.org,,,,County,,New Mexico,"Dona Ana County, NM -- Note added 7/16/14 5:11",https://donaanacounty.org/,6/6/13 18:08,county,,,,
donnellsoniowa.org,,,,Local,,Iowa,"Donnellson, Ia -- Note added 8/25/15 20:22",http://www.donnellsoniowa.org/city-hall,6/6/13 18:08,local,,,,
doravillega.us,,,,Local,,Georgia,"City of Doraville, Ga -- Note added 8/25/15 15:18",http://doravillega.us/Government,6/6/13 18:08,local,,,,
dorchestercounty.net,,,,County,,South Carolina,"dorchester county, sc -- Note added 8/28/15 13:45",http://www.dorchestercounty.net/,6/6/13 18:08,county,,,,
dornc.com,,,,State,,North Carolina,NC Dept of Revenue -- Note added 9/11/15 19:50,http://dornc.com/,6/6/13 18:08,state,,,,
dorrtownship.com,,,,Local,,Illinois,"Dorr Township, IL -- Note added 7/1/14 20:23",http://dorrtownship.com/,6/6/13 18:08,local,,,,
dorsetvt.org,,,,Local,,Vermont,"Town of Dorset, VT -- Note added 8/13/14 5:42",http://dorsetvt.org/,6/6/13 18:08,local,,,,
dothan.org,,,,Local,,Alabama,"City of Dothan, AL -- Note added 7/15/13 15:34",http://dothan.org/,6/6/13 18:08,local,,,,
douglas-county.com,,,,County,,Kansas,"Douglas County, KS -- Note added 12/5/13 14:34",http://www.douglas-county.com/,6/6/13 18:08,county,,,,
douglascountywa.net,,,,County,,Washington,"Douglas County, WA -- Note added 4/7/14 17:49",http://www.douglascountywa.net/,6/6/13 18:08,county,,,,
douglascountywi.org,,,,County,,Wisconsin,"Douglas County, WI -- Note added 8/5/14 5:21",http://douglascountywi.org/,6/6/13 18:08,county,,,,
douglasma.org,,,,Local,,Massachusetts,"Town of Douglas, Ma -- Note added 8/26/15 15:59",http://www.douglasma.org/,6/6/13 18:08,local,,,,
dover-foxcroft.org,,,,Local,,Maine,"Dover-Foxcroft, Maine -- Note added 8/27/15 18:12",http://www.dover-foxcroft.org/,6/6/13 18:08,local,,,,
dover.nj.us,,,,Local,,New Jersey,"dover, Nj -- Note added 9/15/15 19:50",http://dover.nj.us/,6/6/13 18:08,local,,,,
doverma.org,,,,Local,,Massachusetts,"Dover, Ma -- Note added 8/26/15 15:59",http://www.doverma.org/,6/6/13 18:08,local,,,,
doverohio.com,,,,Local,,Ohio,"City of Dover, OH -- Note added 3/13/14 16:47",http://doverohio.com/,6/6/13 18:08,local,,,,
doververmont.com,,,,Local,,Vermont,"Town of Dover, VT -- Note added 8/13/14 5:43",http://doververmont.com/,6/6/13 18:08,local,,,,
downers.us,,,,Local,,Illinois,"Village of Downers Grove, IL -- Note added 7/1/14 20:24",http://www.downers.us/,6/6/13 18:08,local,,,,
downetwpnj.org,,,,Local,,New Jersey,"downe township, NjJ -- Note added 9/15/15 19:51",http://downetwpnj.org/,6/6/13 18:08,local,,,,
downingtown.org,,,,Local,,Pennsylvania,"Borough of Downingtown, PA -- Note added 9/15/14 19:51",http://downingtown.org/,6/6/13 18:08,local,,,,
doylestownpa.org,,,,Local,,Pennsylvania,"Doylestown Township, PA -- Note added 9/15/14 19:53",http://www.doylestownpa.org/,6/6/13 18:08,local,,,,
drainoregon.org,,,,Local,,Oregon,"City of Drain, OR (Gateway to the Pacific) -- Note added 7/23/14 15:38",http://drainoregon.org/,6/6/13 18:08,local,,,,
draper.ut.us,,,,Local,,Utah,"Draper City, UT -- Note added 8/21/14 5:07",http://www.draper.ut.us/,6/6/13 18:08,local,,,,
draytonnd.com,,,,Local,,North Dakota,"City of Drayton, ND -- Note added 7/18/14 5:50",http://draytonnd.com/,6/6/13 18:08,local,,,,
drexelmo.com,,,,Local,,Missouri,"City of Drexel, MO. -- Note added 10/1/15 20:01",http://drexelmo.com/,6/6/13 18:08,local,,,,
driggs.govoffice.com,,,,Local,,Idaho,"City of Driggs, ID -- Note added 7/5/13 18:58",http://www.driggs.govoffice.com/,6/6/13 18:09,local,,,,
driving95.com,,,,State,,North Carolina,"Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) -- Note added 9/22/15 16:56",http://driving95.com/,6/6/13 18:08,state,,,,
drugcontrolprogram.org,,,,State,,Wisconsin,Wisconsin National Guard Drug Control Program -- Note added 1/23/14 14:03,http://drugcontrolprogram.org/,1/23/14 14:03,state,,,,
drycleancoalition.org,,,,Quasigovernmental,,,"About the State Coalition for Remediation of Drycleaners The State Coalition for Remediation of Drycleaners was established in 1998, with support from the U.S. EPA Office of Superfund Remediation and Technology Innovation. It is comprised of states with established drycleaner remediation programs. From https://drycleancoalition.org/ ; Retrieved December 23, 2016 -- Note added 12/23/16 21:13",https://drycleancoalition.org/,12/23/16 20:36,quasigovernmental,,,,
dryden-ny.org,,,,Local,,New York,"Village of Dryden, NY -- Note added 6/30/15 16:44",http://dryden-ny.org/,6/6/13 18:08,local,,,,
duaneny.com,,,,Local,,New York,"Town of Duane, NY -- Note added 6/30/15 16:44",http://duaneny.com/,6/6/13 18:09,local,,,,
duanesburg.net,,,,Local,,New York,"Town of Duanesburg, NY -- Note added 6/30/15 16:46",http://duanesburg.net/,6/6/13 18:08,local,,,,
dublintown.org,,,,Local,,Virginia,"Town of Dublin, VA -- Note added 6/17/14 17:42",http://dublintown.org/,6/6/13 18:08,local,,,,
dubuquecounty.org,,,,County,,Iowa,"Dubuque County, Ia -- Note added 8/25/15 20:22",http://dubuquecounty.org/,6/6/13 18:08,county,,,,
duchesnecity.com,,,,Local,,Utah,"Duchesne City, UT -- Note added 8/21/14 5:08",http://www.duchesnecity.com/,6/6/13 18:08,local,,,,
duenwegmo.com,,,,Local,,Missouri,"City of Duenweg, MO. -- Note added 10/1/15 20:02",http://duenwegmo.com/,6/6/13 18:08,local,,,,
dukescounty.org,,,,County,,Massachusetts,"Dukes County, Ma -- Note added 8/26/15 16:00",http://dukescounty.org/Pages/index,6/6/13 18:08,county,,,,
duluthga.net,,,,Local,,Georgia,"Duluth, Ga -- Note added 8/25/15 15:17",http://duluthga.net/,6/6/13 18:08,local,,,,
duluthtownship.org,,,,Local,,Minnesota,"Duluth Township, MN -- Note added 4/26/15 1:59",http://www.duluthtownship.org/,6/6/13 18:08,local,,,,
dummerston.org,,,,Local,,Vermont,"Town of Dummerston, VT -- Note added 8/13/14 5:43",http://dummerston.org/,6/6/13 18:08,local,,,,
dunbartonnh.org,,,,Local,,New Hampshire,"dunbarton, nh -- Note added 8/28/15 18:50",http://dunbartonnh.org/,6/6/13 18:08,local,,,,
duncanville.com,,,,Local,,Texas,"City of Duncanville, TX -- Note added 7/26/13 18:22",http://www.duncanville.com/,6/6/13 18:08,local,,,,
dundeecity.org,,,,Local,,Oregon,"City of Dundee, OR (Supporting the livability, safety, and viability of the Dundee community) -- Note added 7/23/14 15:41",http://www.dundeecity.org/,6/6/13 18:08,local,,,,
dundeetownship.com,,,,Local,,Illinois,"Dundee Township, IL -- Note added 7/1/14 20:25",http://dundeetownship.com/,6/6/13 18:08,local,,,,
dundeevillage.net,,,,Local,,Michigan,"dundee village, mi -- Note added 9/3/15 14:31",http://dundeevillage.net/,6/6/13 18:08,local,,,,
dunedingov.com,,,,Local,,Florida,"The City of Dunedin, FL -- Note added 6/17/15 12:20",http://dunedingov.com/,6/6/13 18:08,local,,,,
dunellen.com,,,,Local,,New Jersey,"dunellen, NJ -- Note added 9/15/15 19:51",http://dunellen.com/,6/6/13 18:08,local,,,,
dunescity.com,,,,Local,,Oregon,"City of Dunes City, OR (Where the dunes meet Woahink & Siltcoos Lakes) -- Note added 7/23/14 15:41",http://dunescity.com/,6/6/13 18:08,local,,,,
dunkirktoday.com,,,,Local,,New York,"City of Dunkirk, NY -- Note added 7/31/13 16:15",http://www.dunkirktoday.com/,6/6/13 18:08,local,,,,
dunlapia.com,,,,Local,,Iowa,"Dunlap, Ia -- Note added 8/25/15 20:23",http://www.dunlapia.com/,6/6/13 18:08,local,,,,
dunn-nc.org,,,,Local,,North Carolina,"dunn, nc -- Note added 9/11/15 19:50",http://dunn-nc.org/,6/6/13 18:08,local,,,,
dunncountywi.govoffice2.com,,,,County,,Wisconsin,"Dunn County, WI -- Note added 3/21/14 19:07",http://www.dunncountywi.govoffice2.com/,6/6/13 18:09,county,,,,
dunnellon.org,,,,Local,,Florida,"The City of Dunnellon, FL -- Note added 6/17/15 12:21",http://dunnellon.org/,6/6/13 18:08,local,,,,
dunntownship.com,,,,Local,,Minnesota,"Dunn Township, Otter Tail County, MN -- Note added 3/21/14 19:07",http://www.dunntownship.com/,6/6/13 18:08,local,,,,
dupageco.org,,,,County,,Illinois,"DuPage County, IL -- Note added 11/22/13 12:30",http://dupageco.org/,6/6/13 18:08,county,,,,
dupagetownship.org,,,,Local,,Illinois,"DuPage Township, IL -- Note added 11/22/13 12:32",http://dupagetownship.org/,6/6/13 18:08,local,,,,
duplincountync.com,,,,County,,North Carolina,"duplin county, nc -- Note added 9/11/15 19:51",http://duplincountync.com/,6/6/13 18:08,county,,,,
durandmi.com,,,,Local,,Michigan,"durand, mi -- Note added 9/3/15 14:31",http://durandmi.com/,6/6/13 18:08,local,,,,
durangogov.org,,,,Local,,Colorado,"City of Durango, CO -- Note added 7/11/14 6:01",http://durangogov.org/,6/6/13 18:08,local,,,,
durant.org,,,,Local,,Oklahoma,"durant, ok -- Note added 8/28/15 16:45",http://durant.org/,6/6/13 18:08,local,,,,
durham-oregon.us,,,,Local,,Oregon,"City of Durham, OR -- Note added 6/18/14 6:56",http://www.durham-oregon.us/,6/6/13 18:08,local,,,,
durhamny.com,,,,Local,,New York,"Town of Durham, NY -- Note added 6/30/15 16:49",http://durhamny.com/,6/6/13 18:08,local,,,,
duxburyvermont.org,,,,Local,,Vermont,"Town of Duxbury, VT -- Note added 8/13/14 5:44",http://www.duxburyvermont.org/,6/6/13 18:08,local,,,,
dvbic.org,Department of Defense (DOD),,,Federal,,,"Defense and Veterans Brain Injury Center (DVBIC), one of three Defense Centers of Excellence (see http://www.dcoe.health.mil/About_DCoE/Centers.aspx) -- Note added 7/31/13 17:28",,7/31/13 17:27,federal,unspecified,,,
dvidshub.net,Department of Defense (DOD),,,Federal,,,Defense Video and Imagery Distribution System (DVIDS) -- Note added 6/6/13 18:08,,6/6/13 18:08,federal,unspecified,,,
dvlnd.com,,,,Local,,North Dakota,"City of Devils Lake, ND -- Note added 7/18/14 5:51",http://dvlnd.com/,6/6/13 18:08,local,,,,
e2.gov.cwtsatotravel.com,General Services Administration (GSA),,,Federal,,,E2 Solutions (GSA eTravel program). See more information at http://www.gsa.gov/portal/content/105399  -- Note added 11/10/15 17:05,https://e2.gov.cwtsatotravel.com/ThinkCAP/e2/login;jsessionid=7HD1WCjFQSzK22XQpyS0bqh3Qb5xyGdP75Y22V1P2QzL0p8YHb0v!2010108603?execution=e1s1,6/6/13 18:09,federal,unspecified,,,
eaglebendmn.com,,,,Local,,Minnesota,"Eagle Bend, MN -- Note added 4/26/15 2:08",http://www.eaglebendmn.com/,6/6/13 18:08,local,,,,
eaglelake-fla.com,,,,Local,,Florida,"The City of Eagle Lake, FL -- Note added 6/17/15 12:23",http://www.eaglelake-fla.com/,6/6/13 18:08,local,,,,
eaglelakemn.com,,,,Local,,Minnesota,"City of Eagle Lake, MN -- Note added 4/26/15 2:08",http://www.eaglelakemn.com/,6/6/13 18:08,local,,,,
eaglesmere.org,,,,Local,,Pennsylvania,"Borough of Eagles Mere, PA -- Note added 9/15/14 20:32",http://www.eaglesmere.org,6/6/13 18:08,local,,,,
eaglesnestmn.com,,,,Local,,Minnesota,"Eagles Nest Township, MN -- Note added 4/26/15 2:10",http://www.eaglesnestmn.com/,6/6/13 18:08,local,,,,
earlytx.net,,,,Local,,Texas,"City of Early, TX -- Note added 6/6/13 18:09",,6/6/13 18:09,local,,,,
earthkam.ucsd.edu,National Aeronautics and Space Administration (NASA),,,Federal,,,"Sally Ride EarthKAM (Earth Knowledge Acquired by Middle school students) is a NASA educational outreach program enabling students, teachers, and the public to learn about Earth from the unique perspective of space.  -- Note added 6/6/13 18:08",,6/6/13 18:08,federal,unspecified,,,
earthquakeauthority.com,,,,Quasigovernmental,,,"California Earthquake Authority, a publicly managed, largely privately funded organization that provides catastrophic residential earthquake insurance and encourages Californians to reduce their risk of earthquake loss. -- Note added 11/18/13 18:02",http://earthquakeauthority.com/CEAIndex.aspx,6/6/13 18:08,quasigovernmental,,,,
earthsystemcog.org,National Science Foundation (NSF),,,Quasigovernmental,,,"Earth System CoG is a web environment that enables users to create project workspaces, connect projects into networks, share and consolidate information within those networks, and seamlessly link to tools for data archival, reformatting and search, data visualization, and metadata collection and display. CoG is integrated with the Earth System Grid Federation (ESGF) data distribution software and provides an easy to use interface to its services.  CoG is supported by grants from the National Science Foundation and the National Oceanic and Atmospheric Administration. -- Note added 6/6/13 18:08",https://earthsystemcog.org/projects/cog/,6/6/13 18:08,quasigovernmental,,,,
earthsystemcog.org,National Aeronautics and Space Administration (NASA),,Website - open to public,Federal,,,"Earth System Modeling Framework. ESMF is sponsored by the Department of Defense, NASA, the National Science Foundation, and NOAA -- Note added 3/20/14 15:38",https://www.earthsystemcog.org/projects/esmf/,6/6/13 18:08,federal,unspecified,,,
east-aurora.ny.us,,,,Local,,New York,"Village of East Aurora, NY -- Note added 6/30/15 16:50",http://www.east-aurora.ny.us/,6/6/13 18:08,local,,,,
east-wenatchee.com,,,,Local,,Washington,"City of East Wenatchee, WA -- Note added 11/20/14 7:14",http://east-wenatchee.com/,6/6/13 18:08,local,,,,
east-windsor.nj.us,,,,Local,,New Jersey,"east-windsor, nj -- Note added 9/15/15 19:51",http://east-windsor.nj.us/,6/6/13 18:08,local,,,,
eastaltonvillage.org,,,,Local,,Illinois,"Village of East Alton, IL -- Note added 7/1/14 20:26",http://eastaltonvillage.org/,6/6/13 18:08,local,,,,
eastampton.com,,,,Local,,New Jersey,"Easthampton Township, NJ -- Note added 6/12/13 17:59",http://eastampton.com/,6/6/13 18:08,local,,,,
eastamwelltownship.com,,,,Local,,New Jersey,"east amwell township, NJ -- Note added 9/15/15 19:52",http://eastamwelltownship.com/,6/6/13 18:08,local,,,,
eastbradford.org,,,,Local,,Pennsylvania,"East Bradford Township, PA -- Note added 9/15/14 20:35",http://www.eastbradford.org/,6/6/13 18:08,local,,,,
eastbridgewaterma.org,,,,Local,,Massachusetts,"Town of East Bridgewater, Ma -- Note added 8/26/15 16:01",http://www.eastbridgewaterma.org/Public_Documents/index,6/6/13 18:08,local,,,,
eastbrookfieldma.us,,,,Local,,Massachusetts,"East brookfield, Ma -- Note added 8/26/15 16:01",http://www.eastbrookfieldma.us/,6/6/13 18:08,local,,,,
eastbrunswick.org,,,,Local,,New Jersey,"east brunswick, NJ -- Note added 9/15/15 19:53",http://eastbrunswick.org/,6/6/13 18:08,local,,,,
eastcalntownship.com,,,,Local,,Pennsylvania,"East Caln Township, PA -- Note added 9/15/14 20:39",http://eastcalntownship.com/,6/6/13 18:08,local,,,,
eastchester.org,,,,Local,,New York,"Town of East Chester, NY -- Note added 6/30/15 16:51",http://eastchester.org/,6/6/13 18:08,local,,,,
eastchicago.com,,,,Local,,Indiana,"City of east Chicago, In -- Note added 8/27/15 14:30",http://www.eastchicago.com/,6/6/13 18:08,local,,,,
eastchinatownship.org,,,,Local,,Michigan,"east china township, mi -- Note added 9/3/15 14:32",http://www.eastchinatownship.org/,6/6/13 18:08,local,,,,
easternmasscfc.org,Combined Federal Campaign,,,Federal,,Massachusetts,CFC of Eastern Ma.  -- Note added 8/26/15 16:02,http://easternmasscfc.org/,6/6/13 18:08,federal,unspecified,,,
eastfishkillny.org,,,,Local,,New York,"Town of East Fishkill, NY -- Note added 6/30/15 16:52",http://eastfishkillny.org/,6/6/13 18:08,local,,,,
eastfranklintownship.com,,,,Local,,Pennsylvania,"East Franklin Township, PA -- Note added 9/15/14 20:44",http://eastfranklintownship.com/,6/6/13 18:08,local,,,,
eastgoshen.org,,,,Local,,Pennsylvania,"East Goshen Township, PA -- Note added 9/15/14 20:45",http://www.eastgoshen.org/,6/6/13 18:08,local,,,,
eastgr.org,,,,Local,,Michigan,"eastgr, mi -- Note added 9/3/15 14:32",http://eastgr.org/,6/6/13 18:08,local,,,,
eastgrandforks.net,,,,Local,,Minnesota,"City of East Grand Forks, MN -- Note added 6/6/13 18:09",,6/6/13 18:09,local,,,,
eastgreenbush.org,,,,Local,,New York,"Town of East Greenbush, NY -- Note added 6/30/15 16:53",http://eastgreenbush.org/,6/6/13 18:08,local,,,,
eastgreenwichnj.com,,,,Local,,New Jersey,"east greenwich, nj  -- Note added 9/15/15 19:53",http://www.eastgreenwichnj.com/,6/6/13 18:08,local,,,,
eastgreenwichri.com,,,,Local,,Rhode Island,"Town of East Greenwich, RI -- Note added 6/7/13 18:35",http://eastgreenwichri.com/,6/6/13 18:08,local,,,,
eastgulllake.govoffice.com,,,,Local,,Minnesota,"City of East Gull Lake, MN -- Note added 4/26/15 2:11",http://www.eastgulllake.govoffice.com/,6/6/13 18:09,local,,,,
easthaddam.org,,,,Local,,Connecticut,"Town of East Haddam, CT -- Note added 12/5/13 14:13",http://www.easthaddam.org/,6/6/13 18:08,local,,,,
easthamptonct.org,,,,Local,,Connecticut,"Town of East Hampton, CT -- Note added 12/15/14 6:42",http://easthamptonct.org/Pages/index,6/6/13 18:08,local,,,,
easthampton.org,,,,Local,,Massachusetts,"East Hampton, Ma -- Note added 8/26/15 16:02",http://www.easthampton.org/,6/6/13 18:09,local,,,,
easthanoverpa.com,,,,Local,,Pennsylvania,"East Hanover Township, PA -- Note added 9/15/14 20:48",http://easthanoverpa.com/,6/6/13 18:08,local,,,,
easthanovertownship.com,,,,Local,,New Jersey,"east hanover township, NJ -- Note added 9/15/15 19:55",http://easthanovertownship.com/,6/6/13 18:08,local,,,,
easthazelcrest.com,,,,Local,,Illinois,"Village of East Hazel Crest, IL -- Note added 11/18/13 20:08",http://www.easthazelcrest.com/vbulletin/content.php,6/6/13 18:08,local,,,,
easthelenamt.us,,,,Local,,Montana,"City of East Helena, MT -- Note added 11/22/13 13:07",http://easthelenamt.us/,6/6/13 18:08,local,,,,
easthempfield.org,,,,Local,,Pennsylvania,"East Hempfield Township, PA -- Note added 9/15/14 20:50",http://easthempfield.org/,6/6/13 18:08,local,,,,
eastjordancity.org,,,,Local,,Michigan,"east jordan city, mi -- Note added 9/3/15 14:32",http://eastjordancity.org/,6/6/13 18:08,local,,,,
eastlakeohio.com,,,,Local,,Ohio,"City of Eastlake, OH -- Note added 11/19/13 12:50",http://eastlakeohio.com/,6/6/13 18:08,local,,,,
eastliverpool.com,,,,Local,,Ohio,"City of East Liverpool, OH -- Note added 3/14/14 17:47",http://eastliverpool.com/,6/6/13 18:08,local,,,,
eastmarlborough.org,,,,Local,,Pennsylvania,"East Marlborough Township, PA -- Note added 9/15/14 20:52",http://eastmarlborough.org/,6/6/13 18:08,local,,,,
eastmckeesportboro.com,,,,Local,,Pennsylvania,"Borough of East McKeesport, PA -- Note added 9/15/14 20:55",http://eastmckeesportboro.com/,6/6/13 18:08,local,,,,
eastmoline.com,,,,Local,,Illinois,"City of East Moline, IL -- Note added 7/1/14 20:27",http://eastmoline.com/,6/6/13 18:08,local,,,,
eastnewmarket.us,,,,Local,,Maryland,"East New Market, MD -- Note added 5/27/14 2:29",http://www.eastnewmarket.us/,6/6/13 18:08,local,,,,
eastnorritontwp.org,,,,Local,,Pennsylvania,"East Norriton Township, PA -- Note added 9/15/14 20:57",http://www.eastnorritontwp.org/,6/6/13 18:08,local,,,,
eastonme.com,,,,Local,,Maine,"Town of Easton, ME -- Note added 11/10/15 17:22",http://www.eastonme.com/,6/6/13 18:08,local,,,,
eastorange-nj.gov,,,,Local,,New Jersey,"east orange, nj -- Note added 9/15/15 19:55",http://eastorange-nj.gov/,6/6/13 18:08,local,,,,
eastoversc.com,,,,Local,,South Carolina,"eastover, sc -- Note added 8/28/15 13:46",http://eastoversc.com/,6/6/13 18:08,local,,,,
eastpennsboro.net,,,,Local,,Pennsylvania,"East Pennsboro Township, PA -- Note added 9/15/14 20:59",http://eastpennsboro.net/,6/6/13 18:08,local,,,,
eastpikeland.org,,,,Local,,Pennsylvania,"East Pikeland Township, PA -- Note added 9/15/14 21:01",http://www.eastpikeland.org/,6/6/13 18:08,local,,,,
eastpointcity.org,,,,Local,,Georgia,"East Point City, Ga -- Note added 8/25/15 15:17",http://eastpointcity.org/,6/6/13 18:08,local,,,,
eastprairiemo.net,,,,Local,,Missouri,"City of East Prairie, MO. -- Note added 10/1/15 20:06",http://www.eastprairiemo.net/,6/6/13 18:08,local,,,,
eastprovidenceri.net,,,,Local,,Rhode Island,"City of East Providence, RI -- Note added 6/7/13 18:35",http://eastprovidenceri.net/,6/6/13 18:08,local,,,,
eastrochester.org,,,,Local,,New York,"Town/ Village of East Rochester, NY -- Note added 6/30/15 16:56",http://eastrochester.org/,6/6/13 18:08,local,,,,
eastrockhilltownship.org,,,,Local,,Pennsylvania,"East Rockhill Township, PA -- Note added 9/25/14 20:27",http://eastrockhilltownship.org/,6/6/13 18:08,local,,,,
eastrutherfordnj.net,,,,Local,,New Jersey,"east rutherford, nj -- Note added 9/15/15 19:57",http://eastrutherfordnj.net/,6/6/13 18:08,local,,,,
easttawas.publishpath.com,,,,Local,,Michigan,"east tawas, mi -- Note added 9/3/15 14:33",http://easttawas.publishpath.com/,6/6/13 18:08,local,,,,
easttown.org,,,,Local,,Pennsylvania,"Easttown Township, PA -- Note added 9/25/14 20:30",http://easttown.org/,6/6/13 18:08,local,,,,
easttroy-wi.com,,,,Local,,Wisconsin,"Village of East Troy, WI -- Note added 8/5/14 5:22",http://www.easttroy-wi.com/,6/6/13 18:08,local,,,,
eastwhiteland.org,,,,Local,,Pennsylvania,"East Whiteland Township, PA -- Note added 11/19/13 12:51",http://www.eastwhiteland.org/default.aspx,6/6/13 18:08,local,,,,
eastwilliston.org,,,,Local,,New York,"Village of East Williston, NY -- Note added 6/30/15 16:58",http://www.eastwilliston.org/,6/6/13 18:08,local,,,,
eatonco.org,,,,Local,,Colorado,"Town of Eaton, CO -- Note added 7/11/14 6:02",http://www.eatonco.org/,6/6/13 18:08,local,,,,
